"category","klamath","english"
"Introductory Phrases","Waq dal ?i gee ?ewksiknii ?elGank","How do you say that in Klamath?"
"People","sn'eweets","woman, wife"
"People","sn'eweeck'a","little woman, girl"
"People","weew'ans","women"
"People","weleeqs","old woman"
"People","hiswaqs","man, male, husband"
"People","hiswaqk'a","boy"
"People","hihaswaqs","men"
"People","moc'aak","old man"
"People","gmocatk","old person"
"People","c'aaGi","little boy"
"People","c'ilwas","unmarried bachelor"
"People","tsim'angatk","youth, teenager"
"People","n'isq'aak","little girl (7-11)"
"People","siw?aak","girl (12-18)"
"People","t'at'aksni","children"
"People","m'ok'aak","baby"
"People","ptisap","father"
"People","pk'isap","mother"
"People","wnak","son"
"People","beep","daughter"
"People","s?aaMaks","relative"
"Body Parts","n'os","head"
"Body Parts","lak'ii","forehead"
"Body Parts","laq","hair"
"Body Parts","lolp","eye"
"Body Parts","psis","nose"
"Body Parts","som","mouth"
"Body Parts","dot","tooth"
"Body Parts","baawac","tongue"
"Body Parts","geec'o","chin"
"Body Parts","sm'ooq","beard, moustache"
"Body Parts","niis","neck"
"Body Parts","n'awqs","throat"
"Body Parts","n'ep","hand"
"Body Parts","tq'op'oo","thumb"
"Body Parts","datGlamni","middle finger"
"Body Parts","sdeqs","fingernail"
"Body Parts","weq","arm"
"Body Parts","solt'aqk'is","elbow"
"Body Parts","Lap'akLas","shoulder"
"Body Parts","wso","chest"
"Body Parts","sdaynas","heart"
"Body Parts","nkas","stomach"
"Body Parts","balla","liver"
"Body Parts","qeemat","back"
"Body Parts","c'ey","buttocks"
"Body Parts","c'ooks","leg"
"Body Parts","q'ol'anc","knee"
"Body Parts","pec","foot"
"Body Parts","stakl'inc","heel"
"Body Parts","jeGle","blood"
"Body Parts","c'elks","skin"
"Animals","lilhanks","deer"
"Animals","baacools","muledeer"
"Animals","won","elk"
"Animals","yohoo","buffalo"
"Animals","loq","grizzly bear"
"Animals","wit'eem","black bear"
"Animals","k'oly'aa (w'as)","coyote"
"Animals","daaslaats","cougar"
"Animals","Gewcis","wolf"
"Animals","wac'aak","dog"
"Animals","p'oosis","cat"
"Animals","pom","beaver"
"Animals","wac","horse"
"Animals","moosmos","cow"
"Animals","goso","pig"
"Animals","kay / c'wak'na","rabbit / cottontail"
"Animals","ceelis","porcupine"
"Animals","c'aasis","skunk"
"Birds (c'ik'as)","yawq'al","bald eagle"
"Birds (c'ik'as)","blaywaas","golden eagle"
"Birds (c'ik'as)","Gaaq","crow"
"Birds (c'ik'as)","wisGaq","robin"
"Birds (c'ik'as)","p'is?as","hummingbird"
"Birds (c'ik'as)","mok'as","horned owl"
"Birds (c'ik'as)","sqol'oos","turkey"
"Fish (kyem) & Water Life","c'iyaal's","salmon"
"Fish (kyem) & Water Life","c'waam / yeen / q'apdo","types of mullet"
"Fish (kyem) & Water Life","meYas","trout"
"Fish (kyem) & Water Life","nGaas","rainbow trout"
"Fish (kyem) & Water Life","Gawi","eels"
"Fish (kyem) & Water Life","Goy'a","crawfish"
"Fish (kyem) & Water Life","kow'e","frog"
"Plants","wokas","pond lily"
"Plants","may","tule"
"Plants","?iwam","huckleberry"
"Plants","Goos","ponderosa pine"
"Plants","waako","lodgepole pine"
"Plants","yaas","willow"
"The Environment","Geela","earth"
"The Environment","Galoo","sky"
"The Environment","?ambo","water"
"The Environment","GoGe","river"
"The Environment","y'ayn'a","mountain"
"The Environment","s?aba","sun/moon"
"The Environment","qcool","star"
"The Environment","keys","snow"
"The Environment","qdooca","raining"
"Directions","lobiitdal'","east"
"Directions","tGalam","west"
"Directions","yaamat","north"
"Directions","moowat","south"
"Place Names","?iWLaLLoon?a","Klamath Falls"
"Place Names","mbosaksawaas","Chiloquin (""flint place"")"
"Place Names","giiwas","Crater Lake"
"Place Names","?ews","Klamath Lake"
"Colors","balbal?i","white"
"Colors","bosbosl'i","black"
"Colors","taktakl'i","red"
"Colors","m'ecm'ecl'i","blue"
"Colors","woyGanks","green"
"Numbers","Naas","1"
"Numbers","laap","2"
"Numbers","ndan","3"
"Numbers","woniip","4"
"Numbers","ton'ip","5"
"Numbers","Nacksept","6"
"Numbers","lapksept","7"
"Numbers","ndanksept","8"
"Numbers","Nacq'eeks","9"
"Numbers","tewn'ip","10"
